Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
ENSSSCG00000001837	52.67334709047566	-0.09526772293120814	0.07605955594971311	-1.2525411401848643	0.21037274720564786	0.4642650060355417	FALSE
ENSSSCG00000007003	285.6225022654418	-0.09530391181833428	0.08318380569907545	-1.1457027124138124	0.2519181811652288	0.5148624431505028	FALSE
ENSSSCG00000002884	124.25433499424969	-0.09534246325456548	0.0803345115860144	-1.1868182350555778	0.2352993244948614	0.4963606310280236	FALSE
ENSSSCG00000033123	313.0475282756617	-0.09536047813035702	0.06347005657798338	-1.5024482924982274	0.13298137234875343	0.3593964356656067	FALSE
ENSSSCG00000013883	231.62165545962935	-0.09537963030424886	0.046236183807323944	-2.062878517433795	0.03912417165262571	0.1794356315891471	FALSE
ENSSSCG00000012258	736.2146936267985	-0.09542850964723924	0.05660497694393194	-1.6858678299924508	0.09182125942308897	0.29392119059464367	FALSE
ENSSSCG00000006571	1046.0404070475568	-0.09553229339258834	0.032718572754871916	-2.9198184807240173	0.0035023532163129317	0.044801275496912735	TRUE
ENSSSCG00000009864	772.223313055063	-0.09560235747695046	0.0422750836968127	-2.261435084613643	0.023732328249605857	0.13501216341548877	FALSE
ENSSSCG00000021292	356.94456603028505	-0.0956843549968682	0.03745855228549175	-2.554406114459692	0.010636911129576085	0.08683848094140174	FALSE
ENSSSCG00000018806	2.959745351303364	-0.09571903552549631	0.3539483204540917	-0.27043223542548606	0.7868277433590677	NA	NA
ENSSSCG00000035367	4.21205608770227	-0.09574493592544774	1.1216513773912833	-0.08536069036720625	0.93197464360057	NA	NA
ENSSSCG00000011968	345.3085421042849	-0.09575643905799609	0.04003677838604974	-2.391711893866093	0.016770000643223752	0.11168200956067745	FALSE
ENSSSCG00000036444	1.1733288814746794	-0.09576803767906138	0.5026552725669133	-0.19052428753010398	0.8488983130414641	NA	NA
ENSSSCG00000007163	7.711593517511724	-0.09577302229566481	0.24324336001952332	-0.39373334708079116	0.6937779185744606	0.852944698724763	FALSE
ENSSSCG00000001734	1.293362426949372	-0.09585961488952385	0.4702705752224225	-0.203839278790057	0.8384790971557606	NA	NA
ENSSSCG00000000773	77.08122192577743	-0.09587436322465981	0.10042412513274006	-0.9546945327921313	0.3397321954671239	0.6014548600646696	FALSE
ENSSSCG00000032910	169.85666165920335	-0.0959043961835271	0.060781721943481276	-1.5778492796354984	0.11460023950708043	0.330509622375781	FALSE
